name,hash,id_item,person_label,seconds,readable,dst_path,group_name,folder_order
2618_2981_front_L_Sweatshirt_1_1_item_1.pes,3f3a75f9,2981,A,356.075,5m 56s,D:\WORK\WEB\SortFilePes\sorted\A\007_3f3a75f9\2618_2981_front_L_Sweatshirt_1_1_item_1.pes,007_3f3a75f9,7
2619_2982_front_S_Sweatshirt_1_1_item_1.pes,aacd4264,2982,C,2957.3750000000005,49m 17s,D:\WORK\WEB\SortFilePes\sorted\C\008_aacd4264\2619_2982_front_S_Sweatshirt_1_1_item_1.pes,008_aacd4264,8
2620_2983_front_L_Sweatshirt_1_1_item_1.pes,2c45a33d,2983,C,1963.9750000000001,32m 44s,D:\WORK\WEB\SortFilePes\sorted\C\009_2c45a33d\2620_2983_front_L_Sweatshirt_1_1_item_1.pes,009_2c45a33d,9
2621_2984_front_M_Comfort _1_1_item_1.pes,e6335cce,2984,B,476.225,7m 56s,D:\WORK\WEB\SortFilePes\sorted\B\013_e6335cce\2621_2984_front_M_Comfort _1_1_item_1.pes,013_e6335cce,13

Summary
group_label,file_count,total_seconds,total_seconds_readable,adjusted_seconds,adjusted_readable,unique_id_items,unique_hashes
A,15,27049.675,450m 50s,24649.675,410m 50s,15,7
B,17,25567.7,426m 8s,24367.7,406m 8s,16,13
C,13,18303.15,305m 3s,17103.15,285m 3s,12,9
D,3,5887.375,98m 7s,5587.375,93m 7s,3,2

TOTAL,48,76807.9,1280m 8s,71707.9,1195m 8s,46,31
